xi=0.01 xi=0.1 xi=1.0 xi=10.0 xi=100.0
1.66750015002167e-17 1.6675001500216697e-16 1.6675001500216698e-15 1.6675001500216696e-14 1.6675001500216696e-13
2.1376030737758627e-15 2.1376030737758626e-14 2.1376030737758628e-13 2.1376030737758626e-12 2.1376030737758628e-11
3.661429106634365e-14 3.661429106634365e-13 3.6614291066343645e-12 3.661429106634365e-11 3.6614291066343636e-10
2.752575060267369e-13 2.7525750602673684e-12 2.7525750602673684e-11 2.752575060267369e-10 2.752575060267316e-09
1.3184328825405208e-12 1.318432882540521e-11 1.318432882540521e-10 1.3184328825405173e-09 1.318432882540153e-08
4.750127838782448e-12 4.7501278387824475e-11 4.750127838782444e-10 4.750127838782327e-09 4.7501278387704965e-08
1.4064983843066639e-11 1.4064983843066636e-10 1.406498384306662e-09 1.4064983843064356e-08 1.406498384283839e-07
3.608401942048003e-11 3.608401942048003e-10 3.608401942047973e-09 3.6084019420450476e-08 3.608401941752475e-07
8.299228229453e-11 8.299228229453001e-10 8.299228229452714e-09 8.299228229424548e-08 8.299228226607283e-07
1.7515219535421548e-10 1.7515219535421526e-09 1.7515219535419375e-08 1.751521953520446e-07 1.7515219513713136e-06
3.4487131500215603e-10 3.448713150021547e-09 3.448713150020187e-08 3.448713149884323e-07 3.448713136297922e-06
6.413331084499913e-10 6.413331084499838e-09 6.413331084492481e-08 6.413331083756625e-07 6.413331010171013e-06
1.136934789470551e-09 1.1369347894705163e-08 1.1369347894670134e-07 1.136934789116832e-06 1.1369347540986689e-05
1.935317959519155e-09 1.9353179595190053e-08 1.9353179595040724e-07 1.935317958010846e-06 1.9353178086881436e-05
3.181426648831442e-09 3.181426648830862e-08 3.181426648772914e-07 3.1814266429780685e-06 3.181426063493954e-05
5.0739843633582196e-09 5.073984363356145e-08 5.073984363148903e-07 5.073984342424568e-06 5.0739822699931126e-05
7.880848124237347e-09 7.880848124230447e-08 7.880848123540386e-07 7.880848054533982e-06 7.880841153908454e-05
1.1957774656027467e-08 1.1957774656005894e-07 1.1957774653848398e-06 1.1957774438099174e-05 0.00011957752863270218
1.7771223506547853e-08 1.7771223506484072e-07 1.777122350010524e-06 1.7771222862221387e-05 0.00017771159074387636
2.5925925925924136e-08 2.592592592574472e-07 2.5925925907802706e-06 2.5925924113600895e-05 0.000259257446964114
3.719806910082541e-08 3.7198069100342825e-07 3.7198069052085864e-06 3.719806422639224e-05 0.00037197581672114127
5.2575085543870277e-08 5.25750855426237e-07 5.2575085417966654e-06 5.257507295227013e-05 0.0005257382645386135
7.330320027057818e-08 7.330320026747371e-07 7.330319995702095e-06 7.330316891178266e-05 0.0007330006470500004
1.0094407761990143e-07 1.0094407761242253e-06 1.009440768645343e-05 0.00010094400207585018 0.0010093652454404322
1.3744212962945307e-07 1.3744212961197462e-06 1.3744212786412636e-05 0.0001374419530798391 0.001374244800144237
1.852043040096823e-07 1.852043039699531e-06 1.8520429999702897e-05 0.00018520390270668685 0.0018516419424123814
2.471944681813662e-07 2.471944680933336e-06 2.4719445929008222e-05 0.0002471935789725098 0.0024710562288308355
3.270448539075407e-07 3.2704485371700277e-06 3.270448346632337e-05 0.0003270429293131506 0.0032685266218034385
4.29187433502892e-07 4.291874330993308e-06 4.291873927432087e-05 0.0004291833572227857 0.004287807203283451
5.590085738352764e-07 5.590085729974873e-06 5.5900848921863216e-05 0.0005590001116369665 0.0055816537788810905
7.23030870733138e-07 7.230308690259061e-06 7.230306983028222e-05 0.0007230136269705505 0.007213161828084555
9.291267187714289e-07 9.291267153519555e-06 9.291263734048827e-05 0.0009290921817464843 0.009257031561206991
1.1867689374268522e-06 1.1867689306868788e-05 0.00011867682566904464 0.0011867008663257294 0.01180052987794532
1.5073246754943689e-06 1.50732466240658e-05 0.00015073233536304676 0.001507192503578725 0.014943757787205183
1.9043998769461677e-06 1.9043998518839282e-05 0.00019043973456680336 0.0019041468041050191 0.018798611859692064
2.3942428438121585e-06 2.394242796440406e-05 0.00023942380592880316 0.002393764571562265 0.023485582027803716
2.9962169122576464e-06 2.996216823800336e-05 0.00029962079781328447 0.002995324045501015 0.029127369070146916
3.7333540117185358e-06 3.733353848412095e-05 0.0003733337517941652 0.0037317062057720023 0.035838477219063136
4.633002958194198e-06 4.63300265990068e-05 0.00046329728310164694 0.004629994606894508 0.04371079563879284
5.727588807854143e-06 5.7275882684073867e-05 0.0005727534324968704 0.005722152316831318 0.05279696376351286
7.055502546813995e-06 7.055501580337692e-05 0.0007055404935933337 0.007045772617043773 0.06309562725602841
8.662143916152232e-06 8.662142199716303e-05 0.0008661970564417079 0.008644889452967201 0.07454410497813226
1.0601144389271487e-05 0.00010601141365855383 0.00106008390452852 0.010570815503986763 0.08702267251388658
1.2935802380816533e-05 0.00012935797096019308 0.0012935268669015578 0.012882946405030012 0.10037032982865919
1.5740768856785762e-05 0.00015740759685452986 0.0015739842682739545 0.015649424353120563 0.11440703217511032
1.9104028862366136e-05 0.0001910401305306009 0.0019102432442316514 0.018947488195197648 0.12895531321565257
2.312923337085825e-05 0.0002312920629002416 0.002312649898231538 0.022863247678532088 0.14385601096900089
2.793844663728255e-05 0.00027938400519963795 0.002793379065150794 0.027490512618234996 0.1589764147776254
3.367538735613237e-05 0.0003367530924821288 0.0033667502893295217 0.03292820771966351 0.17421203892696074
4.05092579297454e-05 0.0004050912630892308 0.004049597470536791 0.039275868151528 0.18948437333982793
4.8639275752293646e-05 0.0004863905499436192 0.004861700375993893 0.046626840319398746 0.20473677895335124
5.8300044491119536e-05 0.0005829967582866425 0.005826286673527356 0.055059233663972425 0.21992999094516322
6.976793302928336e-05 0.0006976731980848121 0.006970612986150327 0.06462545796704544 0.23503800695841937
8.336866646001229e-05 0.0008336765013814489 0.00832663215901233 0.07534221019038678 0.250044663758311
9.948637914131977e-05 0.0009948470025841127 0.0099317505812892 0.08718358698849057 0.2649409414156498
0.0001185744367064479 0.0011857167148077228 0.011829672617270831 0.1000799139198042 0.27972291412028916
0.00014116840516399182 0.001411638625408159 0.014071316824663433 0.1139234928380198 0.29439022862511893
0.0001679016348212009 0.0016789418933583456 0.016715767519251842 0.12858020290432767 0.30894499276250836
0.0001995240399736512 0.001995118603568832 0.019831191036822942 0.1439039452615035 0.32339097340674
0.00023692479903141935 0.002369049072710067 0.023495593369778456 0.1597503750162954 0.3377330237164291
0.0002811598831388972 0.0028112743740325054 0.027797219423855005 0.1759873137429977 0.3519766783515064
0.00033348555656820023 0.003334326835172274 0.032834291916911805 0.19250086816975592 0.3661278709255834
0.0003953992955424289 0.0039531318561622395 0.03871366806089403 0.2091976645023966 0.38019274009400544
0.00046868996568873395 0.004685497596908643 0.045547885027844875 0.22600430391679802 0.3941774998392342
0.0005554996119361883 0.0055527129931172495 0.0534500392348915 0.24286522544305456 0.40808835630206985
0.0006583998892758647 0.00658027924527549 0.06252611504031323 0.25973991226522375 0.42193145848066654
0.000780487054795265 0.0077988053675771786 0.07286488314185778 0.27660004548072054 0.43571287374808687
0.0009255006291551547 0.009245104364715548 0.08452639267893237 0.2934269281882263 0.4494385817859868
0.0010979724289694017 0.010963532497819594 0.09753120862285497 0.3102093109132412 0.46311448247121195
0.0013034148254506789 0.013007618487017144 0.11185335994782036 0.32694163759054207 0.47674641469001233
0.0015485600201819833 0.015442029481744382 0.12741973077294577 0.3436226759762905 0.4903401841362498
0.0018416661637206916 0.018344910671532124 0.14411698419235372 0.36025447535274335 0.503901598993614
0.0021929117380490885 0.021810605437786 0.16180462865694412 0.37684159185051835 0.5174365130863342
0.002614907455016844 0.02595269558593516 0.18033084609696926 0.3933905278019917 0.5309508766784761
0.0031233659881569078 0.03090716846089373 0.19954727838666148 0.409909340765166 0.5444507956627219
0.0037379856432665157 0.036835279243687055 0.21932010072754993 0.42640738748075113 0.5579426004588025
0.004483626821835339 0.04392528579348905 0.23953647652637486 0.44289517688023977 0.5714329265928269
0.005391893227310507 0.05239166639551603 0.2601069238936814 0.45938431403026525 0.5849288097140621
0.00650327835276477 0.06246976595173336 0.2809648145525197 0.47588752368303944 0.5984377988086164
0.007870109683917052 0.07440338330949228 0.3020642798164076 0.4924187482221663 0.6119680926956501
0.009560630018872997 0.08842335471559734 0.3233775222249956 0.5089933206871564 0.6255287067073361
0.011664714638919625 0.10471774827238861 0.3448921828116591 0.5256282197796701 0.6391296789915266
0.014301958783456416 0.1233992857099445 0.36660912655924766 0.542342421023168 0.6527823295073587
0.017633210945127695 0.1444811261877939 0.38854082022364 0.5591573675581614 0.6664995900830609
0.02187709466760894 0.16787338501477791 0.4107103781616421 0.576097596925855 0.6802964318116996
0.027333618461643932 0.19340582617732557 0.4331513213762877 0.5931915790150419 0.694190428125686
0.0344173764485004 0.22087006696478018 0.4559081154534517 0.6104728491684278 0.7082025107820296
0.04370223366941531 0.2500665032184112 0.47903761834596537 0.6279815663129594 0.7223580064113269
0.055975370980616494 0.28084283188919523 0.5026116880043552 0.6457667018222455 0.7366880918870338
0.07228581696976995 0.31311932151565086 0.5267214036517197 0.6638891952854837 0.7512318941085839
0.09394411577152383 0.34690392132981446 0.5514837139277741 0.6824266479786885 0.7660396171555086
0.1223937278726135 0.38230451232952084 0.5770519958286413 0.7014805689703322 0.7811773780455703
0.1589006349738675 0.41954733974504327 0.6036333472061359 0.7211880824451556 0.7967350331052903
0.20421113125612575 0.45901336019214006 0.6315183262720776 0.7417419419295351 0.8128395803889112
0.2585785352219836 0.501312939864648 0.6611357176639339 0.7634273073121206 0.8296798283348029
0.32239635679020884 0.5474458670178437 0.6931633385923848 0.7866961325225729 0.8475563734377116
0.39729730601808044 0.5991804846678009 0.7287843990297663 0.8123393747410637 0.8669974852786846
0.48807944618302107 0.660140909260921 0.7704171418415457 0.8419776757792307 0.8890898400816281
0.6095446248979054 0.7403341625443124 0.8247513895529965 0.8801066504675185 0.9168595841240232
