xi=0.01 xi=0.1 xi=1.0 xi=10.0 xi=100.0
6.123846380374803e-17 6.123846380374803e-17 1.8377729566532834e-15 1.671624933426814e-14 1.668334139800539e-13
2.2825914257779916e-15 2.138606884029649e-14 2.1397577719363997e-13 2.1385400599772247e-12 2.1384627154729685e-11
3.6731650638161876e-14 3.6654267426817533e-13 3.664875155193397e-12 3.6647310985945273e-11 3.664727805165894e-10
2.7583788305989203e-13 2.7569372545980024e-12 2.7569932573989847e-11 2.7569877376568007e-10 2.7569862960808e-09
1.3218667632930257e-12 1.3217447357366958e-11 1.321736985003217e-10 1.3217373229354072e-09 1.3217372231679613e-08
4.767424192594492e-12 4.767302030322876e-11 4.767289814095714e-10 4.767290152400973e-09 4.767290097092745e-08
1.4134290666371435e-11 1.4134257599699275e-10 1.4134243136133005e-09 1.4134241689776374e-08 1.413424163439558e-07
3.631651156350337e-11 3.631645609942732e-10 3.6316446083522837e-09 3.6316444634982645e-08 3.6316444668903034e-07
8.367006850240887e-11 8.367001294327392e-10 8.367000962593895e-09 8.367000951806265e-08 8.367000935050801e-07
1.7692139016795813e-10 1.769214242171864e-09 1.769214096791108e-08 1.769214095710218e-07 1.7692140924558422e-06
3.4909535773551115e-10 3.490953693806934e-09 3.490953705452111e-08 3.4909536908826513e-07 3.4909536758919425e-06
6.507033989388668e-10 6.507032303802139e-09 6.507032360532218e-08 6.507032350431925e-07 6.507032274767788e-06
1.1564793304703213e-09 1.1564792970000278e-08 1.1564792891357476e-07 1.1564792892510417e-06 1.1564792533361818e-05
1.9740085344396224e-09 1.9740085235255196e-08 1.974008526963698e-07 1.9740085252606316e-06 1.974008372062835e-05
3.2546565103721316e-09 3.254656431278965e-08 3.2546564188261556e-07 3.254656412318286e-06 3.2546558161488745e-05
5.207291056062793e-09 5.207291022293643e-08 5.207291014357613e-07 5.207290991760885e-06 5.207288851528438e-05
8.11538282101067e-09 8.115382695665655e-08 8.115382683125339e-07 8.115382611550672e-06 8.115375455625643e-05
1.2358179629551045e-08 1.2358179687336284e-07 1.2358179677030839e-06 1.2358179450677565e-05 0.00012358156978406284
1.8436791850849917e-08 1.843679170153194e-07 1.8436791679622143e-06 1.843679101211172e-05 0.00018436724258897403
